GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ticketero API,com.example.ticketero.model.entity,Advisor,11,0,0,0,5,0,2,0,2,0
Ticketero API,com.example.ticketero.model.entity,Mensaje,10,0,2,0,4,0,2,0,1,0
Ticketero API,com.example.ticketero.model.entity,AuditLog,7,0,2,0,3,0,2,0,1,0
Ticketero API,com.example.ticketero.model.entity,Ticket,26,0,6,0,10,0,5,0,2,0
Ticketero API,com.example.ticketero.model.enums,EstadoEnvio,48,0,0,0,8,0,3,0,3,0
Ticketero API,com.example.ticketero.model.enums,TicketStatus,93,0,0,0,13,0,4,0,4,0
Ticketero API,com.example.ticketero.model.enums,MessageTemplate,57,0,0,0,10,0,4,0,4,0
Ticketero API,com.example.ticketero.model.enums,QueueType,99,0,0,0,17,0,7,0,7,0
Ticketero API,com.example.ticketero.model.enums,AdvisorStatus,57,0,0,0,10,0,4,0,4,0
Ticketero API,com.example.ticketero.service,AssignmentService,562,0,36,0,111,0,31,0,13,0
Ticketero API,com.example.ticketero.service,DashboardService,315,0,6,0,97,0,17,0,14,0
Ticketero API,com.example.ticketero.service,QueueService,248,0,18,0,60,0,17,0,8,0
Ticketero API,com.example.ticketero.service,MessageService,329,0,24,0,85,0,24,0,10,0
Ticketero API,com.example.ticketero.service,AuditService,203,0,2,0,76,0,7,0,6,0
Ticketero API,com.example.ticketero.service,AdvisorService,187,0,2,0,59,0,9,0,8,0
Ticketero API,com.example.ticketero.service,TicketService,389,0,17,0,109,0,25,0,15,0
Ticketero API,com.example.ticketero.config,SchedulingConfig,3,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.scheduler,MetricsScheduler,194,0,8,0,33,0,9,0,5,0
Ticketero API,com.example.ticketero.scheduler,MessageScheduler,24,0,0,0,9,0,3,0,3,0
Ticketero API,com.example.ticketero.scheduler,QueueMaintenanceScheduler,280,0,28,0,60,0,25,0,11,0
Ticketero API,com.example.ticketero.scheduler,TicketAssignmentScheduler,14,0,0,0,5,0,2,0,2,0
Ticketero API,com.example.ticketero.controller,HealthController,17,0,0,0,7,0,2,0,2,0
Ticketero API,com.example.ticketero.controller,TicketController,46,0,0,0,11,0,5,0,5,0
Ticketero API,com.example.ticketero.controller,AdminController,89,0,0,0,22,0,11,0,11,0
Ticketero API,com.example.ticketero.model.dto.request,TicketRequest,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.request,AdvisorStatusRequest,9,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero,TicketeroApplication,8,0,0,0,3,0,2,0,2,0
Ticketero API,com.example.ticketero.model.dto.response,TicketPositionResponse,30,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,QueueStatsResponse,36,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AdvisorResponse,39,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,ErrorResponse,29,0,0,0,5,0,3,0,3,0
Ticketero API,com.example.ticketero.model.dto.response,ConflictErrorResponse,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,TicketByRutResponse,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,DashboardResponse,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,DashboardResponse.AlertResponse,21,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,PerformanceSummaryResponse.PerformanceMetrics,27,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,TicketByRutResponse.ActiveTicketInfo,24,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AuditEventResponse.AuditEvent,24,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,PerformanceSummaryResponse,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AdvisorStatsResponse.AdvisorPerformance,18,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AdvisorStatusChangeResponse,24,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AuditEventResponse,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AdvisorStatsResponse.TicketDetail,21,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,QueueSummaryResponse,39,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,DashboardResponse.DashboardSummary,27,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,AdvisorStatsResponse,18,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,ConflictErrorResponse.ActiveTicketInfo,15,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.model.dto.response,TicketResponse,45,0,0,0,1,0,1,0,1,0
Ticketero API,com.example.ticketero.repository,QueueStatsRepository,89,0,2,0,22,0,8,0,7,0
Ticketero API,com.example.ticketero.exception,ActiveTicketExistsException,12,0,0,0,4,0,2,0,2,0
Ticketero API,com.example.ticketero.exception,GlobalExceptionHandler,91,0,0,0,27,0,8,0,8,0
Ticketero API,com.example.ticketero.exception,TicketNotFoundException,11,0,0,0,4,0,2,0,2,0
